epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4069.57,0.45483,0.43721,1.02054,0.99743,1,0.995,0.92143,0.95742,0.6085,2.15127,0.0011684,0.0011684,0.0011684
44,4177.47,0.44235,0.42709,1.00444,0.99826,1,0.995,0.91831,1.01727,0.71125,2.77775,0.0011486,0.0011486,0.0011486
45,4284.16,0.4463,0.43497,1.03151,0.96974,0.97123,0.99412,0.88981,1.13616,1.01065,2.92941,0.0011288,0.0011288,0.0011288
46,4389.14,0.4041,0.40973,1.02514,0.94047,0.9697,0.99176,0.87467,1.2555,1.40894,2.8665,0.001109,0.001109,0.001109
47,4506.95,0.47877,0.44554,1.06007,0.99705,1,0.995,0.90089,1.29917,0.95879,2.7923,0.0010892,0.0010892,0.0010892
48,4592.08,0.4629,0.41985,1.02934,0.99706,1,0.995,0.86183,1.55708,0.93745,3.08834,0.0010694,0.0010694,0.0010694
49,4728.06,0.44733,0.42224,1.0371,0.99818,1,0.995,0.88301,1.17191,0.88524,1.99518,0.0010496,0.0010496,0.0010496
50,4857.02,0.44653,0.45622,1.06547,0.99828,1,0.995,0.91785,0.93758,0.72997,1.83045,0.0010298,0.0010298,0.0010298
51,4980.88,0.4013,0.40824,0.98926,0.99825,1,0.995,0.90522,0.97004,0.43186,2.34578,0.00101,0.00101,0.00101
52,5101.13,0.41374,0.3965,1.00667,0.99796,1,0.995,0.93593,0.28601,0.36659,0.86253,0.0009902,0.0009902,0.0009902
53,5211.92,0.45005,0.42338,1.05964,0.99796,1,0.995,0.93935,0.31332,0.40323,0.90013,0.0009704,0.0009704,0.0009704
54,5318.08,0.4432,0.40868,1.04535,0.9983,1,0.995,0.94163,0.33964,0.39602,0.91743,0.0009506,0.0009506,0.0009506
55,5419.19,0.45054,0.40222,1.03582,0.99859,1,0.995,0.90584,0.33665,0.39217,0.94011,0.0009308,0.0009308,0.0009308
56,5522.82,0.36765,0.37659,0.99427,0.97053,0.99805,0.99235,0.88705,0.36675,0.41405,0.96072,0.000911,0.000911,0.000911
57,5626.74,0.38431,0.38355,1.00455,0.99818,0.9697,0.99329,0.91537,0.36906,0.39896,0.96382,0.0008912,0.0008912,0.0008912
58,5728.82,0.34532,0.3448,0.97315,0.99675,1,0.995,0.92144,0.59327,0.69063,1.30235,0.0008714,0.0008714,0.0008714
59,5832.78,0.37804,0.36179,0.99055,0.9944,1,0.995,0.94213,0.66592,0.59142,1.39489,0.0008516,0.0008516,0.0008516
60,5936.3,0.37336,0.38582,0.98576,0.99581,1,0.995,0.91901,0.80287,0.49534,1.60306,0.0008318,0.0008318,0.0008318
61,6040.81,0.37968,0.36042,1.00872,0.99783,1,0.995,0.91895,0.95941,0.47129,1.89984,0.000812,0.000812,0.000812
62,6139.2,0.38671,0.36814,1.00331,0.99821,1,0.995,0.89989,1.02126,0.55583,2.14221,0.0007922,0.0007922,0.0007922
63,6239.36,0.37169,0.34042,0.98705,0.99795,1,0.995,0.9052,0.88281,0.57726,1.89167,0.0007724,0.0007724,0.0007724
64,6339.08,0.37663,0.35837,0.99236,0.9981,1,0.995,0.93052,0.90153,0.61985,1.85469,0.0007526,0.0007526,0.0007526
65,6441.6,0.33147,0.34024,0.98084,0.9967,1,0.995,0.92285,0.9517,0.68457,2.01732,0.0007328,0.0007328,0.0007328
66,6546,0.34746,0.37077,0.98695,0.996,1,0.995,0.93761,0.92929,0.70118,2.05627,0.000713,0.000713,0.000713
67,6647.28,0.36117,0.35825,1.00621,0.99733,1,0.995,0.94114,0.90477,0.56065,2.01309,0.0006932,0.0006932,0.0006932
68,6750.3,0.37249,0.36543,1.0156,0.99775,1,0.995,0.91901,0.72734,0.7259,1.63129,0.0006734,0.0006734,0.0006734
69,6845.58,0.3893,0.34175,1.03801,1,0.99027,0.995,0.91296,0.72599,0.91034,1.51785,0.0006536,0.0006536,0.0006536
70,6941.78,0.35109,0.33553,0.98843,0.99832,1,0.995,0.90324,0.87117,1.1362,1.76771,0.0006338,0.0006338,0.0006338
71,7043.82,0.35339,0.34782,0.99127,0.99674,1,0.995,0.89896,1.11495,0.6425,2.10842,0.000614,0.000614,0.000614
72,7144.66,0.31898,0.32607,0.96712,0.99735,1,0.995,0.89706,0.71253,1.1462,1.43843,0.0005942,0.0005942,0.0005942
73,7243.92,0.32501,0.32618,0.96118,0.99817,1,0.995,0.92109,0.7047,1.0289,1.4151,0.0005744,0.0005744,0.0005744
74,7294.8,0.32819,0.32519,0.9809,0.99466,1,0.995,0.92534,0.9124,0.58468,1.89787,0.0005546,0.0005546,0.0005546
75,7337.41,0.35333,0.32321,0.9676,0.99773,1,0.995,0.92114,0.96978,0.519,2.04566,0.0005348,0.0005348,0.0005348
76,7678.68,0.33053,0.31749,0.98058,0.99821,1,0.995,0.91693,0.94365,0.45694,2.00414,0.000515,0.000515,0.000515
77,7722.84,0.33383,0.39854,0.98884,0.99835,1,0.995,0.92476,0.91018,0.38622,2.05194,0.0004952,0.0004952,0.0004952
78,7766.91,0.30819,0.29157,0.9458,0.9984,1,0.995,0.93574,0.89947,0.42226,2.09126,0.0004754,0.0004754,0.0004754
79,7811.08,0.32882,0.2885,0.99028,0.99838,1,0.995,0.93306,0.91491,0.45199,2.19915,0.0004556,0.0004556,0.0004556
80,7855.41,0.31061,0.29496,0.9557,0.99828,1,0.995,0.9202,0.93744,0.47573,2.28352,0.0004358,0.0004358,0.0004358
81,7899.44,0.32611,0.30665,0.9787,0.99829,1,0.995,0.93984,0.89086,0.45105,2.17692,0.000416,0.000416,0.000416
82,7943.86,0.31383,0.30346,0.95026,0.99827,1,0.995,0.94984,0.85336,0.39418,2.10789,0.0003962,0.0003962,0.0003962
83,7987.99,0.31202,0.28396,0.94841,0.99913,1,0.995,0.94954,0.861,0.41862,2.09013,0.0003764,0.0003764,0.0003764
84,8032.51,0.33953,0.29813,0.9887,0.99986,1,0.995,0.95871,0.89134,0.5533,2.10497,0.0003566,0.0003566,0.0003566
85,8076.52,0.29467,0.29413,0.98796,0.99818,1,0.995,0.94063,0.912,0.79755,2.0203,0.0003368,0.0003368,0.0003368
86,8120.9,0.33529,0.28557,0.96761,0.99814,1,0.995,0.93491,0.85171,0.73887,1.75555,0.000317,0.000317,0.000317
87,8165.16,0.32387,0.29813,0.96018,0.99974,1,0.995,0.94078,0.79363,0.55137,1.55758,0.0002972,0.0002972,0.0002972
88,8209.03,0.29541,0.28876,0.95855,1,0.99929,0.995,0.93827,0.66414,0.70366,1.23678,0.0002774,0.0002774,0.0002774
89,8253.21,0.30573,0.28008,0.97409,1,0.99957,0.995,0.93441,0.57836,0.627,1.05648,0.0002576,0.0002576,0.0002576
90,8297.45,0.27582,0.27159,0.94753,0.99907,1,0.995,0.93518,0.49382,0.53746,0.96831,0.0002378,0.0002378,0.0002378
91,8343.65,0.24718,0.376,0.93674,0.99839,1,0.995,0.95289,0.59345,0.76194,1.09017,0.000218,0.000218,0.000218
92,8401.57,0.23303,0.32403,0.899,0.99834,1,0.995,0.95773,0.84389,0.39967,1.62995,0.0001982,0.0001982,0.0001982
93,8459.79,0.23335,0.33856,0.93907,0.99839,1,0.995,0.95522,0.90875,0.43689,1.97257,0.0001784,0.0001784,0.0001784
94,8509.38,0.24962,0.30784,0.96707,0.99836,1,0.995,0.95743,0.88247,0.44436,2.00511,0.0001586,0.0001586,0.0001586
95,8548.6,0.20987,0.26289,0.89421,0.99838,1,0.995,0.95696,0.87468,0.44826,2.02446,0.0001388,0.0001388,0.0001388
96,8586.68,0.21374,0.25431,0.90757,0.99837,1,0.995,0.94949,0.86225,0.44261,1.90957,0.000119,0.000119,0.000119
97,8626.86,0.2087,0.25061,0.90295,0.99841,1,0.995,0.95594,0.85425,0.44821,1.90198,9.92e-05,9.92e-05,9.92e-05
98,8666.43,0.20314,0.26156,0.89969,0.99838,1,0.995,0.95316,0.84042,0.43276,1.90348,7.94e-05,7.94e-05,7.94e-05
99,8707.25,0.20047,0.24079,0.90536,0.99838,1,0.995,0.95665,0.85496,0.46107,2.01767,5.96e-05,5.96e-05,5.96e-05
100,8747.65,0.20584,0.23751,0.90099,0.9984,1,0.995,0.95672,0.86375,0.43792,2.1022,3.98e-05,3.98e-05,3.98e-05
